"HumanGene","MouseGene","in_deseq2","in_tcga","in_mouse_pseudobulk","in_mouse_sn"
NA,"4930512B01Rik",0,0,1,0
NA,"4930512J16Rik",0,0,1,0
NA,"4930513D17Rik",0,0,1,0
NA,"4930517O19Rik",0,0,1,0
NA,"4930522L14Rik",0,0,1,0
NA,"4930525G20Rik",0,0,1,0
NA,"4930527F14Rik",0,0,1,0
NA,"4930542D17Rik",0,0,1,0
NA,"4930544I03Rik",0,0,1,0
NA,"4930545L23Rik",0,0,1,0
NA,"4930549C15Rik",0,0,1,0
NA,"4930549G23Rik",0,0,1,0
NA,"4930554G24Rik",0,0,1,0
NA,"4930555F03Rik",0,0,1,0
NA,"4930556G01Rik",0,0,1,0
NA,"4930556J24Rik",0,0,1,0
NA,"4930556M19Rik",0,0,1,0
NA,"4930556N13Rik",0,0,1,0
NA,"4930557K07Rik",0,0,1,0
NA,"4930567K12Rik",0,0,1,0
NA,"4930568A13Rik",0,0,1,0
NA,"4930570B17Rik",0,0,1,0
NA,"4930570G19Rik",0,0,1,0
NA,"4930572G02Rik",0,0,1,0
NA,"4930578G10Rik",0,0,1,0
NA,"4930578M01Rik",0,0,1,0
NA,"4930579G18Rik",0,0,1,0
NA,"4930581F22Rik",0,0,1,1
NA,"4930588A03Rik",0,0,1,0
NA,"4930592A05Rik",0,0,1,0
NA,"4930593A02Rik",0,0,1,0
NA,"4930594M22Rik",0,0,1,0
NA,"4930594M22Rik.1",0,0,1,0
NA,"4930595D18Rik",0,0,1,0
NA,"4930598N05Rik",0,0,1,0
NA,"4930599N23Rik",0,0,1,0
NA,"4931403E22Rik",0,0,1,0
NA,"4931415C17Rik",0,0,1,0
NA,"4931422A03Rik",0,0,1,0
NA,"4931423N10Rik",0,0,1,0
NA,"4932422M17Rik",0,0,1,0
NA,"4932435O22Rik",0,0,1,0
NA,"4932441J04Rik",0,0,1,0
NA,"4932443L11Rik",0,0,1,0
NA,"4933400F21Rik",0,0,1,0
NA,"4933404O12Rik",0,0,1,0
NA,"4933405D12Rik",0,0,1,0
NA,"4933406C10Rik",0,0,1,0
NA,"4933406I18Rik",0,0,1,1
NA,"4933406J09Rik",0,0,1,0
NA,"4933407K13Rik",0,0,1,1
NA,"4933407L21Rik",0,0,1,0
NA,"4933408B17Rik",0,0,1,0
NA,"4933412E12Rik",0,0,1,0
NA,"4933412O06Rik",0,0,1,0
NA,"4933421A08Rik",0,0,1,0
NA,"4933421O10Rik",0,0,1,0
NA,"4933423P22Rik",0,0,1,0
NA,"4933424G05Rik",0,0,1,0
NA,"4933424G06Rik",0,0,1,0
NA,"4933424L21Rik",0,0,1,0
NA,"4933427D06Rik",0,0,1,0
NA,"4933428G20Rik",0,0,1,0
NA,"4933431E20Rik",0,0,1,1
NA,"4933432I03Rik",0,0,1,0
NA,"4933432K03Rik",0,0,1,0
NA,"4933433G15Rik",0,0,1,0
NA,"4933436I20Rik",0,0,1,0
NA,"4933439C10Rik",0,0,1,0
NA,"4933439K11Rik",0,0,1,0
NA,"5031415H12Rik",0,0,1,0
NA,"5031425E22Rik",0,0,1,1
NA,"5031434O11Rik",0,0,1,0
NA,"5033406O09Rik",0,0,1,0
NA,"5033417F24Rik",0,0,1,0
NA,"5033421B08Rik",0,0,1,0
NA,"5330416C01Rik",0,0,1,0
NA,"5330426L24Rik",0,0,1,0
NA,"5330434G04Rik",0,0,1,1
NA,"5330438D12Rik",0,0,1,0
NA,"5330439K02Rik",0,0,1,0
NA,"5430402O13Rik",0,0,1,0
NA,"5430403G16Rik",0,0,1,0
NA,"5430405H02Rik",0,0,1,1
NA,"5430416N02Rik",0,0,1,0
NA,"5430431A17Rik",0,0,1,0
NA,"5530601H04Rik",0,0,1,1
NA,"5730405O15Rik",0,0,1,0
NA,"5730480H06Rik",0,0,1,1
NA,"5730522E02Rik",0,0,1,1
NA,"5830408C22Rik",0,0,1,0
NA,"5830418P13Rik",0,0,1,0
NA,"5830432E09Rik",0,0,1,0
NA,"5830444B04Rik",0,0,1,0
NA,"5830448L01Rik",0,0,1,0
NA,"5830487J09Rik",0,0,1,0
NA,"5930430L01Rik",0,0,1,0
NA,"6030407O03Rik",0,0,1,0
NA,"6030442K20Rik",0,0,1,0
NA,"6030443J06Rik",0,0,1,1
NA,"6230400D17Rik",0,0,1,0
NA,"6330403L08Rik",0,0,1,0
NA,"6330411D24Rik",0,0,1,0
NA,"6330418K02Rik",0,0,1,0
NA,"6330562C20Rik",0,0,1,0
NA,"6330576A10Rik",0,0,1,0
NA,"6430503K07Rik",0,0,1,0
NA,"6430590A07Rik",0,0,1,0
NA,"6530401F13Rik",0,0,1,0
NA,"6530402F18Rik",0,0,1,0
NA,"6530403H02Rik",0,0,1,0
NA,"6530409C15Rik",0,0,1,0
NA,"6530411M01Rik",0,0,1,0
NA,"6720427I07Rik",0,0,1,1
NA,"6720489N17Rik",0,0,1,0
NA,"7630403G23Rik",0,0,1,0
NA,"8030442B05Rik",0,0,1,0
NA,"8030453O22Rik",0,0,1,0
NA,"8430419K02Rik",0,0,1,0
NA,"8430426J06Rik",0,0,1,0
NA,"8430429K09Rik",0,0,1,0
NA,"9030025P20Rik",0,0,1,0
NA,"9030407P20Rik",0,0,1,0
NA,"9030624G23Rik",0,0,1,0
NA,"9130015G15Rik",0,0,1,0
NA,"9130019O22Rik",0,0,1,0
NA,"9130019P16Rik",0,0,1,0
NA,"9130023H24Rik",0,0,1,0
NA,"9130024F11Rik",0,0,1,0
NA,"9130230L23Rik",0,0,1,0
NA,"9130410C08Rik",0,0,1,0
NA,"9230111E07Rik",0,0,1,0
NA,"9230112E08Rik",0,0,1,0
NA,"9230112J17Rik",0,0,1,0
NA,"9230114K14Rik",0,0,1,0
NA,"9330020H09Rik",0,0,1,0
NA,"9330104G04Rik",0,0,1,0
NA,"9330111N05Rik",0,0,1,0
NA,"9330117O12Rik",0,0,1,0
NA,"9330136K24Rik",0,0,1,0
NA,"9330151L19Rik",0,0,1,0
NA,"9330158H04Rik",0,0,1,0
NA,"9330159M07Rik",0,0,1,0
NA,"9330160F10Rik",0,0,1,0
NA,"9330162012Rik",0,0,1,0
NA,"9330175E14Rik",0,0,1,0
NA,"9330175M20Rik",0,0,1,0
NA,"9330179D12Rik",0,0,1,0
NA,"9330185C12Rik",0,0,1,0
NA,"9330188P03Rik",0,0,1,1
NA,"9330199G10Rik",0,0,1,0
NA,"9430018G01Rik",0,0,1,0
NA,"9430037G07Rik",0,0,1,0
NA,"9430038I01Rik",0,0,1,0
NA,"9430041J12Rik",0,0,1,1
NA,"9430065F17Rik",0,0,1,0
NA,"9430091E24Rik",0,0,1,0
NA,"9530018F02Rik",0,0,1,0
NA,"9530026P05Rik",0,0,1,1
NA,"9530034E10Rik",0,0,1,0
NA,"9530036O11Rik",0,0,1,0
NA,"9530051G07Rik",0,0,1,0
NA,"9530052E02Rik",0,0,1,0
NA,"9530059O14Rik",0,0,1,1
NA,"9530062K07Rik",0,0,1,0
NA,"9530082P21Rik",0,0,1,0
NA,"9630002D21Rik",0,0,1,0
NA,"9630013A20Rik",0,0,1,1
NA,"9630013D21Rik",0,0,1,0
NA,"9630014M24Rik",0,0,1,1
NA,"9630028H03Rik",0,0,1,0
NA,"9830166K06Rik",0,0,1,0
NA,"9930111J21Rik1",0,0,1,0
NA,"9930111J21Rik2",0,0,1,0
NA,"A030001D20Rik",0,0,1,0
NA,"A130014A01Rik",0,0,1,0
NA,"A130077B15Rik",0,0,1,0
NA,"A230001M10Rik",0,0,1,1
NA,"A230006K03Rik",0,0,1,0
NA,"A230009B12Rik",0,0,1,0
NA,"A230056P14Rik",0,0,1,0
NA,"A230057D06Rik",0,0,1,1
NA,"A230072C01Rik",0,0,1,0
NA,"A230072E10Rik",0,0,1,0
NA,"A230077H06Rik",0,0,1,0
NA,"A230083G16Rik",0,0,1,0
NA,"A230087F16Rik",0,0,1,0
NA,"A330008L17Rik",0,0,1,0
NA,"A330015K06Rik",0,0,1,1
NA,"A330023F24Rik",0,0,1,1
NA,"A330032B11Rik",0,0,1,0
NA,"A330033J07Rik",0,0,1,0
NA,"A330040F15Rik",0,0,1,0
NA,"A330049N07Rik",0,0,1,1
NA,"A330072L02Rik",0,0,1,0
NA,"A330074K22Rik",0,0,1,0
NA,"A330076C08Rik",0,0,1,0
NA,"A330076H08Rik",0,0,1,1
NA,"A330093E20Rik",0,0,1,0
NA,"A330102I10Rik",0,0,1,1
NA,"A430010J10Rik",0,0,1,0
NA,"A430033K04Rik",0,0,1,0
NA,"A430035B10Rik",0,0,1,0
NA,"A430073D23Rik",0,0,1,0
NA,"A430090L17Rik",0,0,1,0
NA,"A430093F15Rik",0,0,1,0
NA,"A430105J06Rik",0,0,1,0
NA,"A430106G13Rik",0,0,1,0
NA,"A430110L20Rik",0,0,1,0
NA,"A530013C23Rik",0,0,1,0
NA,"A530017D24Rik",0,0,1,0
NA,"A530032D15Rik",0,0,1,0
NA,"A530040E14Rik",0,0,1,0
NA,"A530041M06Rik",0,0,1,0
NA,"A530053G22Rik",0,0,1,0
NA,"A530058N18Rik",0,0,1,0
NA,"A530072M11Rik",0,0,1,0
NA,"A530076I17Rik",0,0,1,0
NA,"A530083I20Rik",0,0,1,0
NA,"A530088E08Rik",0,0,1,0
NA,"A630001G21Rik",0,0,1,0
NA,"A630001O12Rik",0,0,1,0
NA,"A630012P03Rik",0,0,1,0
NA,"A630023P12Rik",0,0,1,0
NA,"A630052C17Rik",0,0,1,0
NA,"A630072M18Rik",0,0,1,0
NA,"A630073D07Rik",0,0,1,0
NA,"A630089N07Rik",0,0,1,1
NA,"A730011C13Rik",0,0,1,0
NA,"A730017L22Rik",0,0,1,0
NA,"A730056A06Rik",0,0,1,0
NA,"A730060N03Rik",0,0,1,0
NA,"A730063M14Rik",0,0,1,0
NA,"A730081D07Rik",0,0,1,1
NA,"A730090N16Rik",0,0,1,0
NA,"A830008E24Rik",0,0,1,0
NA,"A830019P07Rik",0,0,1,0
NA,"A830021F12Rik",0,0,1,0
NA,"A830031A19Rik",0,0,1,0
NA,"A830036E02Rik",0,0,1,0
NA,"A830052D11Rik",0,0,1,0
NA,"A830082K12Rik",0,0,1,1
NA,"A830082N09Rik",0,0,1,0
NA,"A930001M01Rik",0,0,1,0
NA,"A930003O13Rik",0,0,1,0
NA,"A930005H10Rik",0,0,1,0
NA,"A930006K02Rik",0,0,1,0
NA,"A930007I19Rik",0,0,1,0
NA,"A930009A15Rik",0,0,1,0
NA,"A930012L18Rik",0,0,1,0
NA,"A930014D07Rik",0,0,1,0
NA,"A930015D03Rik",0,0,1,1
NA,"A930017K11Rik",0,0,1,0
NA,"A930024E05Rik",0,0,1,0
NA,"A930029G22Rik",0,0,1,0
NA,"A930033H14Rik",0,0,1,0
NA,"A930037H05Rik",0,0,1,0
NA,"AA386476",0,0,1,0
NA,"AA387883",0,0,1,0
NA,"AA388235",0,0,1,0
NA,"AA465934",0,0,1,0
NA,"AC106834.1",0,0,1,0
NA,"AC109619.1",0,0,1,0
NA,"AC125149.3",0,0,1,0
NA,"AC132307.1",0,0,1,0
NA,"AC132444.5",0,0,1,0
NA,"AC133103.1",0,0,1,0
NA,"AC135859.1",0,0,1,0
NA,"AC142100.1",0,0,1,0
NA,"AC149090.1",0,0,1,1
NA,"AC150683.1",0,0,1,0
NA,"AC154200.1",0,0,1,0
NA,"AC156546.1",0,0,1,0
NA,"AC160336.1",0,0,1,0
NA,"AC163347.1",0,0,1,0
NA,"AC163638.2",0,0,1,0
NA,"AC166172.1",0,0,1,0
NA,"AC168977.1",0,0,1,0
NA,"AI182371",0,0,1,0
NA,"AI413582",0,0,1,0
NA,"AI480526",0,0,1,1
NA,"AI504432",0,0,1,0
NA,"AI506816",0,0,1,1
NA,"AI662270",0,0,1,1
NA,"AI854703",0,0,1,0
NA,"AI987944",0,0,1,0
NA,"AU020206",0,0,1,1
NA,"AU022754",0,0,1,0
NA,"AU022793",0,0,1,0
NA,"AU023762",0,0,1,0
NA,"AU041133",0,0,1,0
NA,"AV039307",0,0,1,0
NA,"AV099323",0,0,1,0
NA,"AW011738",0,0,1,0
NA,"AW046200",0,0,1,0
NA,"AW047730",0,0,1,0
NA,"AW112010",0,0,1,0
NA,"AW146154",0,0,1,0
NA,"AY036118",0,0,1,1
NA,"AY512915",0,0,1,0
NA,"Abca14",0,0,1,0
NA,"Abca16",0,0,1,0
NA,"Abca17",0,0,1,0
NA,"Abca8a",0,0,1,1
NA,"Abcb1b",0,0,1,0
NA,"Abcg3",0,0,1,0
NA,"Abhd18",0,0,1,1
NA,"Abi3bp",0,0,1,0
NA,"Abitram",0,0,1,0
NA,"Abraxas1",0,0,1,0
NA,"Abraxas2",0,0,1,0
NA,"Acad12",0,0,1,0
NA,"Acan",0,0,1,0
NA,"Ackr1",0,0,1,0
NA,"Acod1",0,0,1,0
NA,"Acot1",0,0,1,0
NA,"Acot6",0,0,1,0
NA,"Acp5",0,0,1,0
NA,"Adam1a",0,0,1,0
NA,"Adam4",0,0,1,0
NA,"Adap2os",0,0,1,0
NA,"Adgra1",0,0,1,0
NA,"Adgra2",0,0,1,0
NA,"Adgra3",0,0,1,1
NA,"Adgrb1",0,0,1,1
NA,"Adgrb2",0,0,1,1
NA,"Adgrb3",0,0,1,1
NA,"Adgrd1",0,0,1,0
NA,"Adgre1",0,0,1,0
NA,"Adgre4",0,0,1,0
NA,"Adgre5",0,0,1,0
NA,"Adgrf2",0,0,1,0
NA,"Adgrf4",0,0,1,0
NA,"Adgrf5",0,0,1,0
NA,"Adgrg1",0,0,1,0
NA,"Adgrg2",0,0,1,0
NA,"Adgrg3",0,0,1,0
NA,"Adgrg5",0,0,1,0
NA,"Adgrg6",0,0,1,1
NA,"Adgrl1",0,0,1,1
NA,"Adgrl2",0,0,1,1
NA,"Adgrl3",0,0,1,1
NA,"Adgrl4",0,0,1,0
NA,"Adgrv1",0,0,1,1
NA,"Afdn",0,0,1,1
NA,"Aff2",0,0,1,1
NA,"Afg1l",0,0,1,1
NA,"Afg3l1",0,0,1,1
NA,"Agtr1b",0,0,1,0
NA,"Ahsa2",0,0,1,1
NA,"Airn",0,0,1,1
NA,"Ajm1",0,0,1,0
NA,"Akain1",0,0,1,0
NA,"Akap17b",0,0,1,1
NA,"Akap9",0,0,1,1
NA,"Akr1b10",0,0,1,0
NA,"Akr1c13",0,0,1,0
NA,"Alg13",0,0,1,0
NA,"Alyref",0,0,1,0
NA,"Alyref2",0,0,1,0
NA,"Anapc15",0,0,1,1
NA,"Ancv1r",0,0,1,0
NA,"Ank2",0,0,1,1
NA,"Ankrd50",0,0,1,0
NA,"Ankub1",0,0,1,0
NA,"Anp32a",0,0,1,1
NA,"Anp32b",0,0,1,1
NA,"Anp32e",0,0,1,0
NA,"Aopep",0,0,1,1
NA,"Aox3",0,0,1,0
NA,"Ap2b1",0,0,1,1
NA,"Aph1c",0,0,1,0
NA,"Apoc1",0,0,1,0
NA,"Apol10b",0,0,1,0
NA,"Apol7a",0,0,1,0
NA,"Apol7e",0,0,1,0
NA,"Apol9a",0,0,1,1
NA,"Apol9b",0,0,1,1
NA,"Appbp2os",0,0,1,0
NA,"Arf2",0,0,1,0
NA,"Arfgef3",0,0,1,1
NA,"Arhgap35",0,0,1,1
NA,"Arhgap45",0,0,1,1
NA,"Armh3",0,0,1,1
NA,"Armh4",0,0,1,1
NA,"Armt1",0,0,1,0
NA,"Arpin",0,0,1,0
NA,"Arxes1",0,0,1,0
NA,"Arxes2",0,0,1,0
NA,"Asmt",0,0,1,0
NA,"Asphd1",0,0,1,0
NA,"Atad3aos",0,0,1,0
NA,"Atg101",0,0,1,0
NA,"Atp23",0,0,1,0
NA,"Atp5e",0,0,1,0
NA,"Atp5k",0,0,1,0
NA,"Atp5md",0,0,1,0
NA,"Atp5mpl",0,0,1,0
NA,"Atp6ap1l",0,0,1,0
NA,"Atp8b5",0,0,1,0
NA,"Atpsckmt",0,0,1,0
NA,"Azin2",0,0,1,0
NA,"B020031H02Rik",0,0,1,0
NA,"B130024G19Rik",0,0,1,0
NA,"B130034C11Rik",0,0,1,0
NA,"B130046B21Rik",0,0,1,0
NA,"B130055M24Rik",0,0,1,1
NA,"B230206H07Rik",0,0,1,0
NA,"B230206L02Rik",0,0,1,0
NA,"B230208H11Rik",0,0,1,0
NA,"B230209E15Rik",0,0,1,0
NA,"B230216N24Rik",0,0,1,0
NA,"B230217C12Rik",0,0,1,0
NA,"B230217O12Rik",0,0,1,0
NA,"B230303O12Rik",0,0,1,0
NA,"B230307C23Rik",0,0,1,1
NA,"B230323A14Rik",0,0,1,0
NA,"B230334C09Rik",0,0,1,0
NA,"B230354K17Rik",0,0,1,0
NA,"B230369F24Rik",0,0,1,0
NA,"B230398E01Rik",0,0,1,0
NA,"B3glct",0,0,1,1
NA,"B430010I23Rik",0,0,1,0
NA,"B430306N03Rik",0,0,1,0
NA,"B4gat1",0,0,1,0
NA,"B630019K06Rik",0,0,1,0
NA,"B830012L14Rik",0,0,1,0
NA,"B930095G15Rik",0,0,1,1
NA,"B9d1os",0,0,1,0
NA,"BB557941",0,0,1,0
NA,"BC002059",0,0,1,1
NA,"BC005561",0,0,1,1
NA,"BC006965",0,0,1,0
NA,"BC024063",0,0,1,0
NA,"BC025920",0,0,1,0
NA,"BC026762",0,0,1,0
NA,"BC029722",0,0,1,0
NA,"BC030343",0,0,1,0
NA,"BC035044",0,0,1,0
NA,"BC037032",0,0,1,0
NA,"BC039966",0,0,1,0
NA,"BC046251",0,0,1,0
NA,"BC048671",0,0,1,0
NA,"BC051142",0,0,1,0
NA,"BC051226",0,0,1,0
NA,"BC051408",0,0,1,0
NA,"BC065397",0,0,1,0
NA,"BC067074",0,0,1,0
NA,"BC147527",0,0,1,0
NA,"BE692007",0,0,1,0
NA,"Babam2",0,0,1,1
NA,"Bach2os",0,0,1,0
NA,"Bbof1",0,0,1,1
NA,"Bc1",0,0,1,0
NA,"Bcas1os2",0,0,1,1
NA,"Bcas3os1",0,0,1,0
NA,"Bclaf3",0,0,1,1
NA,"Bex1",0,0,1,0
NA,"Bex3",0,0,1,0
